<TICKER> <PER> <DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <VOL>
GAZP 60 20220324 110000 251.4100000 278.9000000 232.0000000 269.0500000 38930270
GAZP 60 20220324 120000 269.0500000 269.7500000 261.0000000 265.0500000 14614690
GAZP 60 20220324 130000 265.0500000 266.0000000 260.1600000 261.7100000 11920260
GAZP 60 20220324 140000 261.7000000 263.0000000 256.0000000 258.5100000 13111360
GAZP 60 20220325 110000 263.9900000 269.3300000 247.9700000 248.7400000 15630300
GAZP 60 20220325 120000 248.7700000 250.0000000 228.0000000 236.9100000 20964010
GAZP 60 20220325 130000 236.5500000 241.7700000 227.2000000 228.4700000 19730700
GAZP 60 20220325 140000 228.4700000 231.7800000 225.6000000 227.0000000 10866020
GAZP 60 20220328 110000 225.2500000 228.5000000 213.0300000 226.1600000 10197340
GAZP 60 20220328 120000 226.1600000 229.4500000 223.6500000 225.9900000 7390440
GAZP 60 20220328 130000 225.9900000 226.0000000 218.0600000 218.4900000 4728240
GAZP 60 20220328 140000 218.4900000 220.6500000 218.2100000 218.6000000 2364150
GAZP 60 20220329 110000 220.0000000 226.0000000 216.5000000 222.0000000 12128860
GAZP 60 20220329 120000 222.0200000 223.0000000 218.1000000 219.0000000 9010170
GAZP 60 20220329 130000 219.0000000 221.1700000 206.0000000 208.7600000 13084060
GAZP 60 20220329 140000 208.7600000 213.4000000 206.5000000 208.0000000 6086030
GAZP 60 20220330 110000 211.0200000 219.4100000 210.5200000 215.6100000 11216870
GAZP 60 20220330 120000 215.5500000 216.8700000 212.8100000 213.4900000 4223290
GAZP 60 20220330 130000 213.4900000 217.2500000 213.0900000 215.0100000 6603350
GAZP 60 20220330 140000 215.0100000 216.6800000 214.7100000 216.0000000 16516450
GAZP 60 20220331 110000 218.9800000 229.8500000 217.1000000 229.0500000 16198280
GAZP 60 20220331 120000 229.0500000 236.0000000 225.7300000 234.8900000 11460670
GAZP 60 20220331 130000 234.9800000 249.0000000 234.8000000 241.5400000 21480480
GAZP 60 20220331 140000 241.5000000 245.0000000 240.1000000 242.8500000 6688740
GAZP 60 20220331 150000 242.7900000 242.8800000 240.5000000 241.1900000 3122690
GAZP 60 20220331 160000 241.2000000 241.3000000 233.0200000 233.1300000 9821790
GAZP 60 20220331 170000 233.0300000 239.0000000 231.1100000 239.0000000 6410700
GAZP 60 20220331 180000 238.9900000 240.2000000 235.0000000 240.0200000 4529610
GAZP 60 20220331 190000 240.1800000 243.2500000 239.9000000 242.4800000 4149360
GAZP 60 20220401 110000 245.9000000 258.7000000 242.4800000 253.9000000 21104340
GAZP 60 20220401 120000 253.8000000 254.4000000 245.0000000 247.6600000 10599480
GAZP 60 20220401 130000 247.6000000 252.0000000 247.0700000 249.3300000 4578490
GAZP 60 20220401 140000 249.3200000 249.8900000 247.0000000 247.3000000 1868080
GAZP 60 20220401 150000 247.4300000 251.2900000 246.0100000 251.2500000 2650890
GAZP 60 20220401 160000 251.2500000 251.2500000 247.5000000 249.8000000 2146780
GAZP 60 20220401 170000 249.7900000 253.0000000 249.6900000 252.2100000 3375180
GAZP 60 20220401 180000 252.2100000 252.9700000 251.3000000 252.0500000 2243810
GAZP 60 20220401 190000 252.0300000 252.0500000 251.0000000 251.4000000 1856600
GAZP 60 20220404 110000 254.0400000 259.9900000 237.3100000 249.6000000 20876370
GAZP 60 20220404 120000 249.6300000 255.0000000 246.2700000 252.1500000 8193530
GAZP 60 20220404 130000 252.0100000 253.9900000 251.0000000 253.1200000 2918960
GAZP 60 20220404 140000 253.1400000 253.4100000 251.2500000 251.5300000 1685980
GAZP 60 20220404 150000 251.5900000 253.9400000 251.0000000 252.6900000 2266820
GAZP 60 20220404 160000 252.8200000 253.0000000 251.0000000 252.3300000 1490870
GAZP 60 20220404 170000 252.3800000 252.4500000 251.6000000 251.9200000 672900
GAZP 60 20220404 180000 251.9200000 252.6000000 251.8300000 252.1300000 1325020
GAZP 60 20220404 190000 252.1300000 252.9500000 252.0000000 252.9000000 1495880
GAZP 60 20220405 110000 254.0100000 256.3900000 246.7600000 247.2000000 9163520
GAZP 60 20220405 120000 247.2000000 249.4400000 244.3000000 245.6200000 4850320
GAZP 60 20220405 130000 245.7000000 246.6700000 242.2100000 244.2000000 4111950
GAZP 60 20220405 140000 244.2000000 244.2000000 239.0000000 239.0900000 3668500
GAZP 60 20220405 150000 239.0900000 242.4800000 231.4500000 241.0000000 8848690
GAZP 60 20220405 160000 241.0000000 249.1000000 240.7900000 246.1300000 5729310
GAZP 60 20220405 170000 246.0100000 247.8800000 245.4300000 246.8100000 1322800
GAZP 60 20220405 180000 246.7000000 247.3000000 243.0000000 243.7400000 1294040
GAZP 60 20220405 190000 243.9100000 244.8800000 243.0000000 243.5000000 861450
GAZP 60 20220406 110000 238.7300000 245.6900000 234.4100000 243.9100000 6160980
GAZP 60 20220406 120000 244.0000000 246.3000000 243.0000000 246.3000000 2009880
GAZP 60 20220406 130000 246.3000000 247.8000000 245.2700000 247.0700000 2634790
GAZP 60 20220406 140000 247.1100000 247.2000000 244.0000000 244.7300000 1657250
GAZP 60 20220406 150000 244.7400000 245.0000000 242.0000000 243.8700000 1584140
GAZP 60 20220406 160000 243.8700000 245.8400000 243.1700000 245.8000000 1083680
GAZP 60 20220406 170000 245.8400000 246.4900000 243.5100000 244.2700000 1388560
GAZP 60 20220406 180000 244.2600000 244.9200000 243.0000000 243.0100000 1086130
GAZP 60 20220406 190000 243.0400000 243.4000000 239.2100000 239.7000000 2925480
GAZP 60 20220407 110000 240.0400000 244.0000000 239.1300000 241.1900000 4662350
GAZP 60 20220407 120000 241.1000000 242.0000000 240.1100000 241.2600000 4051370
GAZP 60 20220407 130000 241.2600000 243.1500000 240.1200000 241.0000000 3248850
GAZP 60 20220407 140000 240.9400000 241.6700000 240.6000000 240.8700000 751010
GAZP 60 20220407 150000 240.8700000 242.8900000 240.8000000 241.5000000 1663270
GAZP 60 20220407 160000 241.5000000 242.2000000 241.0000000 241.2500000 774360
GAZP 60 20220407 170000 241.2500000 244.3100000 240.8500000 244.0100000 2372490
GAZP 60 20220407 180000 244.0100000 246.8000000 243.8000000 244.6500000 3629220
GAZP 60 20220407 190000 244.6800000 245.0000000 243.6100000 245.0000000 1215070
GAZP 60 20220408 110000 246.7900000 246.7900000 240.3700000 242.6500000 4571750
GAZP 60 20220408 120000 242.5600000 243.5000000 242.1500000 242.5600000 1673340
GAZP 60 20220408 130000 242.5600000 244.6500000 242.0100000 243.4200000 1407270
GAZP 60 20220408 140000 243.4200000 244.0000000 242.6100000 242.9200000 815720
GAZP 60 20220408 150000 242.9200000 243.8000000 240.0100000 240.1700000 1758340
GAZP 60 20220408 160000 240.2200000 241.5400000 240.0000000 241.1100000 1453120
GAZP 60 20220408 170000 241.1300000 242.3000000 240.3000000 242.3000000 1135520
GAZP 60 20220408 180000 242.2900000 242.5000000 241.4500000 242.0700000 887660
GAZP 60 20220408 190000 242.1000000 242.8500000 241.0700000 241.0700000 1096390
GAZP 60 20220411 110000 241.9000000 242.7800000 240.0000000 242.0800000 4151890
GAZP 60 20220411 120000 242.1800000 242.3600000 240.7000000 240.8600000 1651330
GAZP 60 20220411 130000 240.8500000 241.4600000 240.4900000 240.4900000 1074080
GAZP 60 20220411 140000 240.4900000 240.9800000 240.4100000 240.9500000 484110
GAZP 60 20220411 150000 240.9500000 240.9800000 238.9000000 239.1000000 1185760
GAZP 60 20220411 160000 239.1100000 240.0000000 239.0000000 239.3500000 1078910
GAZP 60 20220411 170000 239.3100000 239.3500000 234.1600000 236.1600000 3996020
GAZP 60 20220411 180000 236.1600000 236.3000000 234.8000000 235.7100000 1096710
GAZP 60 20220411 190000 235.7100000 235.9500000 234.5500000 234.5500000 918940
GAZP 60 20220412 110000 234.0000000 236.0000000 229.0000000 229.0400000 5984760
GAZP 60 20220412 120000 229.1700000 229.6100000 223.0000000 226.7200000 6404800
GAZP 60 20220412 130000 226.7200000 227.6000000 225.5000000 225.7700000 1939160
GAZP 60 20220412 140000 225.7600000 227.3400000 225.5100000 226.7100000 2250710
GAZP 60 20220412 150000 226.8300000 228.8800000 226.5400000 227.7000000 1524510
GAZP 60 20220412 160000 227.7600000 229.9500000 226.7300000 229.8600000 1612310
GAZP 60 20220412 170000 229.8600000 233.8400000 229.3300000 233.0000000 2212670
GAZP 60 20220412 180000 233.0000000 236.5000000 232.3100000 235.4700000 3132320
GAZP 60 20220412 190000 235.4300000 236.6300000 234.8000000 236.3000000 1554550
GAZP 60 20220413 110000 237.9900000 239.6400000 234.1300000 236.7500000 5342070
GAZP 60 20220413 120000 236.8800000 236.9300000 233.8500000 234.8500000 1600190
GAZP 60 20220413 130000 234.8500000 235.3500000 232.1300000 234.2000000 1402080
GAZP 60 20220413 140000 234.2000000 236.2600000 234.0000000 235.2300000 987070
GAZP 60 20220413 150000 235.2300000 235.5000000 234.6200000 234.9500000 551790
GAZP 60 20220413 160000 234.9500000 235.4700000 233.1000000 234.5900000 1050860
GAZP 60 20220413 170000 234.3900000 234.8700000 233.0700000 233.2000000 701800
GAZP 60 20220413 180000 233.1900000 235.0000000 233.0700000 234.6000000 553200
GAZP 60 20220413 190000 234.6000000 235.3000000 234.0300000 234.8700000 474450
GAZP 60 20220414 110000 234.9000000 235.5000000 228.6800000 230.1000000 5199990
GAZP 60 20220414 120000 230.0700000 230.8500000 228.7100000 229.6000000 1964850
GAZP 60 20220414 130000 229.5000000 229.7100000 227.6000000 229.0800000 1998200
GAZP 60 20220414 140000 229.0000000 230.0000000 228.2100000 229.3600000 918530
GAZP 60 20220414 150000 229.3700000 229.8000000 228.0000000 228.4800000 1108670
GAZP 60 20220414 160000 228.4800000 228.5000000 226.0000000 226.8100000 2416620
GAZP 60 20220414 170000 226.9100000 227.2800000 223.2300000 224.7000000 2983440
GAZP 60 20220414 180000 224.7800000 225.7600000 223.0000000 223.7900000 2664070
GAZP 60 20220414 190000 223.7800000 223.8400000 221.1000000 222.1100000 2652360
GAZP 60 20220415 110000 221.9900000 225.1600000 215.7400000 222.8700000 8814460
GAZP 60 20220415 120000 222.9900000 226.6500000 222.8000000 224.4500000 3638740
GAZP 60 20220415 130000 224.4500000 224.9500000 222.0000000 222.1300000 1423050
GAZP 60 20220415 140000 222.1300000 222.1900000 220.4000000 220.9800000 1683870
GAZP 60 20220415 150000 220.9100000 223.5500000 220.7500000 223.5500000 1211530
GAZP 60 20220415 160000 223.5500000 223.6100000 221.7500000 222.8700000 866740
GAZP 60 20220415 170000 222.8700000 222.9800000 222.2000000 222.3700000 410520
GAZP 60 20220415 180000 222.4500000 224.1400000 222.3200000 224.0200000 857450
GAZP 60 20220415 190000 223.9800000 224.5000000 223.0000000 224.0000000 1026670
GAZP 60 20220418 110000 224.2900000 226.0000000 218.5100000 220.8000000 6680560
GAZP 60 20220418 120000 220.8000000 222.4600000 220.3300000 220.6500000 1556990
GAZP 60 20220418 130000 220.6500000 221.3200000 219.6000000 219.6500000 1100550
GAZP 60 20220418 140000 219.6500000 220.3400000 219.5000000 219.7500000 823760
GAZP 60 20220418 150000 219.6700000 220.6700000 218.8000000 219.0500000 1152090
GAZP 60 20220418 160000 219.0500000 219.1200000 218.2200000 218.5600000 844690
GAZP 60 20220418 170000 218.5600000 220.2000000 218.5600000 219.3500000 901690
GAZP 60 20220418 180000 219.4800000 219.4800000 216.6000000 218.4500000 1366500
GAZP 60 20220418 190000 218.4500000 218.4500000 216.9900000 216.9900000 1157630
GAZP 60 20220419 110000 216.9000000 216.9100000 213.5400000 214.4700000 5474870
GAZP 60 20220419 120000 214.4400000 216.3600000 212.8100000 213.3000000 2698610
GAZP 60 20220419 130000 213.2200000 213.5000000 210.3000000 211.5300000 3322580
GAZP 60 20220419 140000 211.5600000 211.7900000 208.5100000 209.2000000 3462320
GAZP 60 20220419 150000 209.1100000 209.3900000 207.0000000 207.0000000 2777980
GAZP 60 20220419 160000 207.0000000 213.0000000 207.0000000 212.1100000 4055530
GAZP 60 20220419 170000 212.1000000 217.0000000 212.0000000 214.3700000 3871240
GAZP 60 20220419 180000 214.3700000 219.9300000 214.3200000 218.0100000 2447610
GAZP 60 20220419 190000 218.0100000 222.0000000 218.0000000 220.7200000 2558370
GAZP 60 20220420 110000 221.4300000 223.0000000 215.6300000 219.3900000 4461600
GAZP 60 20220420 120000 219.2000000 227.4800000 217.1100000 226.7000000 4860770
GAZP 60 20220420 130000 226.7000000 229.8400000 224.0000000 226.4000000 7019490
GAZP 60 20220420 140000 226.3100000 227.5000000 224.3000000 225.8000000 2645040
GAZP 60 20220420 150000 225.8400000 227.7000000 224.0000000 225.6100000 2889900
GAZP 60 20220420 160000 225.7700000 226.2300000 224.7000000 225.8700000 1359500
GAZP 60 20220420 170000 225.8700000 226.2500000 220.0000000 220.6100000 4617460
GAZP 60 20220420 180000 220.6000000 221.4500000 218.0000000 219.4700000 3840690
